дата,ряд,показатель,значение,единица,источник_файл,флаг
2018-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,2544.0,млн кВт·ч,Raport anual de activitate   ANRE 2018.pdf,"«Figura 1. Evoluția producerii, importului şi procurărilor de energie electrică în perioada 2001-2018, mil. kWh», линия «CTE Moldovenească, Transnistria», стр. PDF 10"
2018-01-01,Годовые отчёты ANRE,Импорт э/э (ANRE),956.0,млн кВт·ч,Raport anual de activitate   ANRE 2018.pdf,"«Figura 1», линия «Importul de energie», стр. PDF 10"
2021-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,3445.6,млн кВт·ч,Raport 2021 Final 1.pdf,стр. PDF 21
2022-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,2706.0,млн кВт·ч,Raport privind Activitatea ANRE in anul 2022.pdf,стр. PDF 17
2023-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,3278.5,млн кВт·ч,Raportul de activitate 2023.pdf,стр. PDF 17
2024-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,3068.8,млн кВт·ч,Raportul privind Activitatea ANRE în anul 2024.pdf,стр. PDF 10
2025-01-01,Годовые отчёты ANRE,Закупка э/э у CTE Moldovenească,0.0,млн кВт·ч,Raportul de activitate 2025.pdf,стр. PDF 10
2012-01-01,Годовые отчёты ANRE,"Тариф поставки э/э, центр (RED Union Fenosa), с мая 2012",152.0,бань/кВт·ч,Raport anual de activitate a ANRE pentru anul 2012_0.pdf,стр. PDF 30: «tariful mediu de furnizare a energiei electrice pentru consumatorii deserviţi de Î.C.S. RED Union Fenosa S.A. din mai 2012 a fost determinat în mărime de 152 bani/kWh»
2012-01-01,Годовые отчёты ANRE,"Тариф поставки э/э, север (RED Nord), с мая 2012",167.0,бань/кВт·ч,Raport anual de activitate a ANRE pentru anul 2012_0.pdf,стр. PDF 30: «tariful mediu de livrare pentru consumatorii deserviţi de S.A. RED Nord - în mărime de 167 bani/kWh»
2017-01-01,Годовые отчёты ANRE,"Тариф поставки э/э, центр (Gas Natural Fenosa), с марта 2017",192.0,бань/кВт·ч,Raport anual de activitate a ANRE in anul 2017.pdf,стр. PDF 98: «prețul mediu de furnizare a energiei electrice pentru consumatorii finali ai Î.C.S. Gas Natural Fenosa Furnizare Energie S.R.L. din martie 2017 a fost stabilit în mărime de 192 bani/kWh»
