дата,ряд,показатель,значение,единица,источник_файл,флаг
2022-01-01,BAFA пограничная цена,Preis Euro/TJ,14088.24036066897,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-01-01,BAFA пограничная цена,Menge,406356.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-01-01,BAFA пограничная цена,Preis Euro/TJ,4159.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-01-01,BAFA пограничная цена,Menge,442876.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-02-01,BAFA пограничная цена,Preis Euro/TJ,13277.583641165338,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-02-01,BAFA пограничная цена,Menge,360857.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-02-01,BAFA пограничная цена,Preis Euro/TJ,4350.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-02-01,BAFA пограничная цена,Menge,491662.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-03-01,BAFA пограничная цена,Preis Euro/TJ,14756.386964608211,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-03-01,BAFA пограничная цена,Menge,370990.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-03-01,BAFA пограничная цена,Preis Euro/TJ,4279.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-03-01,BAFA пограничная цена,Menge,529340.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-04-01,BAFA пограничная цена,Preis Euro/TJ,17667.973899888817,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-04-01,BAFA пограничная цена,Menge,329194.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-04-01,BAFA пограничная цена,Preis Euro/TJ,4482.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-04-01,BAFA пограничная цена,Menge,417545.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-05-01,BAFA пограничная цена,Preis Euro/TJ,15072.797906438918,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-05-01,BAFA пограничная цена,Menge,295764.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-05-01,BAFA пограничная цена,Preis Euro/TJ,4988.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-05-01,BAFA пограничная цена,Menge,405837.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-06-01,BAFA пограничная цена,Preis Euro/TJ,17594.309998003777,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-06-01,BAFA пограничная цена,Menge,260492.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-06-01,BAFA пограничная цена,Preis Euro/TJ,5342.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-06-01,BAFA пограничная цена,Menge,384431.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-07-01,BAFA пограничная цена,Preis Euro/TJ,28811.158351209124,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-07-01,BAFA пограничная цена,Menge,259196.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-07-01,BAFA пограничная цена,Preis Euro/TJ,5913.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-07-01,BAFA пограничная цена,Menge,393887.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-08-01,BAFA пограничная цена,Preis Euro/TJ,41255.249486573484,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-08-01,BAFA пограничная цена,Menge,271217.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-08-01,BAFA пограничная цена,Preis Euro/TJ,6581.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-08-01,BAFA пограничная цена,Menge,392856.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-09-01,BAFA пограничная цена,Preis Euro/TJ,35626.84002060654,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-09-01,BAFA пограничная цена,Menge,236818.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-09-01,BAFA пограничная цена,Preis Euro/TJ,7727.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-09-01,BAFA пограничная цена,Menge,366065.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-10-01,BAFA пограничная цена,Preis Euro/TJ,18741.21186220535,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2022-10-01,BAFA пограничная цена,Menge,238674.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-10-01,BAFA пограничная цена,Preis Euro/TJ,11848.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-10-01,BAFA пограничная цена,Menge,392784.0,ТДж,egas_aufkommen_export_1999.xlsx,
2022-11-01,BAFA пограничная цена,Preis Euro/TJ,21267.05073827939,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
