дата,ряд,показатель,значение,единица,источник_файл,флаг
2016-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,200885584.0,USD,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),World | количество,123162394.0,кг,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,123162394.0,кг,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),World | энергия,35730.0,ТДж,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,200634114.0,USD,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,122315360.0,кг,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,122315360.0,кг,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2016-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | энергия,35686.0,ТДж,TradeData_8_8_2026_21_17_6.csv,подозрительно: количество занижено ~в 7 раз
2021-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,376585759.0,USD,TradeData_8_8_2026_21_17_6.csv,
2021-01-01,Comtrade импорт газа 271121 (годовой),World | количество,867243938.0,кг,TradeData_8_8_2026_21_17_6.csv,
2021-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,867243938.0,кг,TradeData_8_8_2026_21_17_6.csv,
2021-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,361596818.0,USD,TradeData_8_8_2026_21_17_6.csv,
