дата,ряд,показатель,значение,единица,источник_файл,флаг
2015-01-01,Ember оптовая цена э/э,Austria,29.94,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Belgium,42.33,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Czechia,29.47,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Denmark,27.12,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Estonia,33.84,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Finland,33.81,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,France,40.94,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Germany,29.94,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Greece,61.41,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Hungary,42.16,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Italy,50.84,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Latvia,39.78,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Lithuania,39.61,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Luxembourg,29.94,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Netherlands,40.51,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Norway,29.19,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Poland,33.53,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Portugal,51.77,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Romania,39.8,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Slovakia,31.26,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Slovenia,42.23,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Spain,51.48,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Sweden,30.24,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-01-01,Ember оптовая цена э/э,Switzerland,44.0,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Austria,36.69,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Belgium,50.54,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Czechia,36.12,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Denmark,29.93,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Estonia,33.43,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Finland,33.15,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,France,50.14,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Germany,36.69,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Greece,56.94,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Hungary,41.27,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Italy,54.52,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
2015-02-01,Ember оптовая цена э/э,Latvia,39.44,EUR/МВт·ч,european_wholesale_electricity_price_data_monthly.csv,
