дата,ряд,показатель,значение,единица,источник_файл,флаг
2022-05-01,Контракты Energocom-МГРЭС 2022,D1 | Договор № 010422/MGRES | цена,0.0595,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 4.1 цена, п. 4.2 сумма, Прил. 3 объём"
2022-05-01,Контракты Energocom-МГРЭС 2022,D1 | Договор № 010422/MGRES | объём,221352.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 4.1 цена, п. 4.2 сумма, Прил. 3 объём"
2022-05-01,Контракты Energocom-МГРЭС 2022,D1 | Договор № 010422/MGRES | сумма,13170444.0,USD,OCR_Contracts_MGRES_FULL.txt,"п. 4.1 цена, п. 4.2 сумма, Прил. 3 объём"
2022-05-01,Контракты Energocom-МГРЭС 2022,D2a | Доп. соглашение № 1 к 010422/MGRES | цена,0.0595,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; сумма договора после правки 26 481 327,36 за оба месяца"
2022-05-01,Контракты Energocom-МГРЭС 2022,D2a | Доп. соглашение № 1 к 010422/MGRES | объём,221352.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; сумма договора после правки 26 481 327,36 за оба месяца"
2022-05-01,Контракты Energocom-МГРЭС 2022,D2a | Доп. соглашение № 1 к 010422/MGRES | сумма,13170444.0,USD,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; сумма договора после правки 26 481 327,36 за оба месяца"
2022-06-01,Контракты Energocom-МГРЭС 2022,D2b | Доп. соглашение № 1 к 010422/MGRES | цена,0.0599,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; объём Прил. 3 - 222,218420 тыс. МВт·ч"
2022-06-01,Контракты Energocom-МГРЭС 2022,D2b | Доп. соглашение № 1 к 010422/MGRES | объём,222218.42,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; объём Прил. 3 - 222,218420 тыс. МВт·ч"
2022-06-01,Контракты Energocom-МГРЭС 2022,D2b | Доп. соглашение № 1 к 010422/MGRES | сумма,13310883.36,USD,OCR_Contracts_MGRES_FULL.txt,"п. 1.5 цена; объём Прил. 3 - 222,218420 тыс. МВт·ч"
2022-07-01,Контракты Energocom-МГРЭС 2022,D4a | Договор № 362-22/MGRES | цена,0.0599,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,п. 4.1 цена; Прил. 3 п. 1.1 объём
2022-07-01,Контракты Energocom-МГРЭС 2022,D4a | Договор № 362-22/MGRES | объём,245856.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,п. 4.1 цена; Прил. 3 п. 1.1 объём
2022-08-01,Контракты Energocom-МГРЭС 2022,D4b | Договор № 362-22/MGRES | цена,0.0599,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,п. 4.1 цена; Прил. 3 п. 1.1 объём
2022-08-01,Контракты Energocom-МГРЭС 2022,D4b | Договор № 362-22/MGRES | объём,245856.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,п. 4.1 цена; Прил. 3 п. 1.1 объём
2022-07-01,Контракты Energocom-МГРЭС 2022,D5a | Доп. соглашение № 1 к 362-22/MGRES | цена,0.0599,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2, Прил. 1: 245,855274 тыс. МВт·ч"
2022-07-01,Контракты Energocom-МГРЭС 2022,D5a | Доп. соглашение № 1 к 362-22/MGRES | объём,245855.274,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2, Прил. 1: 245,855274 тыс. МВт·ч"
2022-09-01,Контракты Energocom-МГРЭС 2022,D6a | Доп. соглашение № 1 к 408-22/MGRES | цена,0.0599,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,п. 1.3 a) сумма; объём в документе не приведён
2022-09-01,Контракты Energocom-МГРЭС 2022,D6a | Доп. соглашение № 1 к 408-22/MGRES | сумма,13671653.9,USD,OCR_Contracts_MGRES_FULL.txt,п. 1.3 a) сумма; объём в документе не приведён
2022-10-01,Контракты Energocom-МГРЭС 2022,D6b | Доп. соглашение № 1 к 408-22/MGRES | цена,0.0625,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 п. 2.1 объём"
2022-10-01,Контракты Energocom-МГРЭС 2022,D6b | Доп. соглашение № 1 к 408-22/MGRES | объём,246290.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 п. 2.1 объём"
2022-10-01,Контракты Energocom-МГРЭС 2022,D6b | Доп. соглашение № 1 к 408-22/MGRES | сумма,15393125.0,USD,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 п. 2.1 объём"
2022-12-04,Контракты Energocom-МГРЭС 2022,D7 | Договор № 489-22/MGRES | цена,0.073,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 4.2 a) цена, п. 4.3 a) сумма, Прил. 3 п. 1.1 объём"
2022-12-04,Контракты Energocom-МГРЭС 2022,D7 | Договор № 489-22/MGRES | объём,204763.0,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 4.2 a) цена, п. 4.3 a) сумма, Прил. 3 п. 1.1 объём"
2022-12-04,Контракты Energocom-МГРЭС 2022,D7 | Договор № 489-22/MGRES | сумма,14947691.76,USD,OCR_Contracts_MGRES_FULL.txt,"п. 4.2 a) цена, п. 4.3 a) сумма, Прил. 3 п. 1.1 объём"
2023-01-01,Контракты Energocom-МГРЭС 2022,D8 | Доп. соглашение № 1 к 489-22/MGRES | цена,0.073,USD/кВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 объём"
2023-01-01,Контракты Energocom-МГРЭС 2022,D8 | Доп. соглашение № 1 к 489-22/MGRES | объём,251691.741,МВт·ч,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 объём"
2023-01-01,Контракты Energocom-МГРЭС 2022,D8 | Доп. соглашение № 1 к 489-22/MGRES | сумма,18373497.09,USD,OCR_Contracts_MGRES_FULL.txt,"п. 1.2 b) цена, п. 1.3 b) сумма, Прил. 1 объём"
