дата,ряд,показатель,значение,единица,источник_файл,флаг
1999-01-01,ЕЦБ,USD за 1 EUR,1.16078,USD/EUR,data.csv,
1999-02-01,ЕЦБ,USD за 1 EUR,1.120765,USD/EUR,data.csv,
1999-03-01,ЕЦБ,USD за 1 EUR,1.0882956521739,USD/EUR,data.csv,
1999-04-01,ЕЦБ,USD за 1 EUR,1.0704409090909,USD/EUR,data.csv,
1999-05-01,ЕЦБ,USD за 1 EUR,1.0628095238095,USD/EUR,data.csv,
1999-06-01,ЕЦБ,USD за 1 EUR,1.0377545454545,USD/EUR,data.csv,
1999-07-01,ЕЦБ,USD за 1 EUR,1.0352681818182,USD/EUR,data.csv,
1999-08-01,ЕЦБ,USD за 1 EUR,1.0603545454545,USD/EUR,data.csv,
1999-09-01,ЕЦБ,USD за 1 EUR,1.0500772727273,USD/EUR,data.csv,
1999-10-01,ЕЦБ,USD за 1 EUR,1.0706333333333,USD/EUR,data.csv,
1999-11-01,ЕЦБ,USD за 1 EUR,1.0338227272727,USD/EUR,data.csv,
1999-12-01,ЕЦБ,USD за 1 EUR,1.0110136363636,USD/EUR,data.csv,
2000-01-01,ЕЦБ,USD за 1 EUR,1.0136952380952,USD/EUR,data.csv,
2000-02-01,ЕЦБ,USD за 1 EUR,0.9834238095238,USD/EUR,data.csv,
2000-03-01,ЕЦБ,USD за 1 EUR,0.9643434782609,USD/EUR,data.csv,
2000-04-01,ЕЦБ,USD за 1 EUR,0.94695,USD/EUR,data.csv,
2000-05-01,ЕЦБ,USD за 1 EUR,0.9059681818182,USD/EUR,data.csv,
2000-06-01,ЕЦБ,USD за 1 EUR,0.9491772727273,USD/EUR,data.csv,
2000-07-01,ЕЦБ,USD за 1 EUR,0.9396571428571,USD/EUR,data.csv,
2000-08-01,ЕЦБ,USD за 1 EUR,0.9040565217391,USD/EUR,data.csv,
2000-09-01,ЕЦБ,USD за 1 EUR,0.8721142857143,USD/EUR,data.csv,
2000-10-01,ЕЦБ,USD за 1 EUR,0.8551590909091,USD/EUR,data.csv,
2000-11-01,ЕЦБ,USD за 1 EUR,0.8563863636364,USD/EUR,data.csv,
2000-12-01,ЕЦБ,USD за 1 EUR,0.8973157894737,USD/EUR,data.csv,
2001-01-01,ЕЦБ,USD за 1 EUR,0.9382818181818,USD/EUR,data.csv,
2001-02-01,ЕЦБ,USD за 1 EUR,0.921705,USD/EUR,data.csv,
2001-03-01,ЕЦБ,USD за 1 EUR,0.9095227272727,USD/EUR,data.csv,
2001-04-01,ЕЦБ,USD за 1 EUR,0.892,USD/EUR,data.csv,
2001-05-01,ЕЦБ,USD за 1 EUR,0.8741636363636,USD/EUR,data.csv,
2001-06-01,ЕЦБ,USD за 1 EUR,0.8531666666667,USD/EUR,data.csv,
