дата,ряд,показатель,значение,единица,источник_файл,флаг
2011-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2011-04-01..2012-04-01 (контракт)",61.0,USD/МВт·ч,"protv.md, 01.04.2011","«potrivit contractului incheiat intre Union Fenosa si centrala de la Cuciurgan, pretul de achizitie este de 6,1 centi pentru un kilowatt-ora» - вторичный источник, телеканал; цена за январь-март 2011 не установлена"
2012-04-02,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2012-04-02..2013-01-02 (контракт)",69.0,USD/МВт·ч,"old.ipn.md, 03.04.2012","«Contractul prevede livrarea energiei electrice la preţul de 6,9 cenţi pentru un kilowatt, cu 13,2% mai mult decât până la 31 martie» - Gas Natural Fenosa, новый контракт с Кучурганской станцией"
2013-01-03,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2013-01-03..2014-03-31 (контракт)",69.0,USD/МВт·ч,"adevarul.ro, 03.01.2013 + radiochisinau.md, 12.07.2013","«Noul acord este pentru o perioadă de un an, iar preţul rămâne cel vechi, de 6,9 cenţi pentru un kilowatt»; срок подтверждён: «La 31 martie 2014, expiră contractele actuale de achiziţie a energiei electrice la un preţ de 6,9 cenţi» (adevarul.ro, 25.03.2014)"
2014-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2014-04-01..2015-03-31 (контракт)",68.0,USD/МВт·ч,"Ministerul Economiei RM, 01.04.2014 (old.mei.gov.md, архивная копия rise.md)","«s-a reușit reducerea prețului de import a energiei electrice de la 6,9 cenți pentru un kWh la 6,8 cenți pentru un kWh... Republica Moldova va cumpăra energie electrică de la aceiași generatori: DTEK Vostokenergo (Ucraina) și Centrala de la Cuciurgan». ОГОВОРКА: с октября 2014 в цепочку встроен посредник EnergoKapital (Тирасполь), цена для Молдовы осталась 6,8, но станция получала меньше"
2019-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2019-04-01..2020-03-31 (контракт (вкл. маржу Energocom))",52.4,USD/МВт·ч,"rdp.moldelectrica.md, Castigator E_2019 от 15.03.2019 + RED Union Fenosa, 14.03.2019","«Câştigător: SA „Energocom”. Prețul ofertei câştigătoare: Sursa 1 (Ucraina, 15% din volum) - 0,0644 USD/kWh; Sursa 2 (CERS Moldovenească, 85% din volum) - 0,0524 USD/kWh»; то же в коммюнике RED Union Fenosa: 85% от CERS Moldovenească по 52,4 USD/MWh, средневзвешенная по контракту 54,2"
2020-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2020-04-01..2020-06-30 (контракт (вкл. маржу Energocom))",49.9,USD/МВт·ч,"premierenergy.md, таблица «Informația privind prețul de referință», раздел закупок 2020","«01.04.2020 - 30.06.2020 | 0,0499 | SA „Energocom” | CERS Moldovenească»"
2020-07-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2020-07-01..2021-03-31 (контракт (вкл. маржу Energocom))",48.65,USD/МВт·ч,"premierenergy.md, таблица цен 2020 + rdp.moldelectrica.md, Castigator E_2020 от 22.06.2020","«01.07.2020 - 31.03.2021 | 0,04865 | SA „Energocom” | CERS Moldovenească»; тендер Moldelectrica: «Pre ul ofertei câ tigătoare: 0,04865 USD/kWh»"
2015-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2015-04-01..2016-02-29 (контракт)",67.95,USD/МВт·ч,"moldpres.md, 01.04.2017","«Moldova paid a purchase price of 48,995 dollars per 1 megawatt, compared to 67.95 dollars until 1 March 2016» - вторичный источник, госагентство Молдовы"
2016-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2016-04-01..2017-03-31 (контракт)",48.995,USD/МВт·ч,"moldpres.md, 01.04.2017","«Suppliers ... purchased from 1 April 2016 ... 28 per cent cheaper ... 48,995 dollars per 1 megawatt» - вторичный источник, госагентство Молдовы"
2017-04-01,Прямые цены закупки у МГРЭС,"Цена э/э МГРЭС, 2017-04-01..2017-06-06 (оферта отклонена)",58.5,USD/МВт·ч,"Ministerul Economiei RM, 01.04.2017 (через moldpres, interfax, diez.md)",первая оферта Кучурганской станции на тендере 2017 года; не принята
