месяц,Load,TPP,HPP,RES,MD-UA,MD-RO,слотов
2024-01,746.1,616.7,27.0,11.8,-238.4,326.2,2975
2024-02,715.5,644.6,32.3,12.5,-277.2,300.7,2784
2024-03,702.8,660.7,32.2,9.4,-180.3,178.1,2972
2024-04,621.9,598.9,30.7,11.3,-316.6,295.5,2880
2024-05,586.6,558.7,29.8,9.3,-137.2,123.9,2976
2024-06,641.8,600.2,20.4,9.7,-268.7,278.1,2880
2024-07,725.7,644.4,19.7,14.2,-329.8,375.2,2976
2024-08,689.5,623.8,25.1,17.9,-183.3,203.9,2976
2024-09,626.9,602.8,23.1,17.5,-335.4,316.3,2880
2024-10,662.2,638.6,20.2,15.2,-124.3,109.6,2976
2024-11,757.9,628.6,21.5,15.3,-54.6,143.4,2880
2024-12,761.4,581.4,17.2,15.4,-243.6,388.5,2976
2025-01,712.8,348.3,24.6,14.1,8.3,313.8,2976
2025-02,718.9,343.6,23.1,14.4,-128.4,455.7,2673
2025-03,599.0,258.3,26.4,21.5,-163.8,454.3,2972
2025-04,526.7,166.8,28.9,27.4,131.0,169.3,2880
2025-05,506.2,140.3,47.6,24.2,64.5,226.7,2976
2025-06,497.7,136.0,43.1,36.2,100.6,178.8,2880
2025-07,612.3,174.1,29.7,50.0,91.3,264.4,2976
2025-08,565.4,151.2,22.7,48.5,36.9,303.7,2976
2025-09,542.0,136.7,17.5,47.8,178.6,158.4,2880
2025-10,641.5,183.9,25.3,39.4,-117.7,504.1,2976
2025-11,728.5,308.6,23.8,21.7,-244.6,615.5,2880
2025-12,765.1,329.8,19.8,24.6,-249.4,638.7,2976
2026-01,812.3,373.9,18.3,25.5,-443.7,835.1,2976
2026-02,795.4,355.7,22.4,34.3,-686.8,1066.4,2688
2026-03,596.5,273.9,23.2,58.1,-466.1,704.6,2972
2026-04,537.7,183.7,22.4,57.6,-253.7,524.9,2880
2026-05,459.4,145.9,20.0,62.8,-262.1,490.4,2976
2026-06,498.8,124.1,20.2,58.3,-236.0,529.8,2880
2026-07,581.2,171.2,16.3,59.6,-179.8,511.4,2976
2026-08,615.7,181.1,15.8,62.1,-150.9,504.9,1047
