дата,ряд,показатель,значение,единица,источник_файл,флаг
2010-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,21911.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,465.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,21158.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,285.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,23274.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,2.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,526.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,22471.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,275.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,24884.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,4.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,473.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,24285.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,122.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,25085.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,4.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,404.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,24509.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,168.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,27444.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,341.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,26879.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,221.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,27482.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,285.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,27001.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,193.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,29584.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,4.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,273.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,29149.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,158.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,32315.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,4.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,222.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,31885.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,204.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,33409.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,4.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,218.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,32934.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,253.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,27954.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,203.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,27346.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,402.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,28541.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,0.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,227.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,27946.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,368.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,31888.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,2.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,208.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,31120.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,558.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,21989.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,199.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,20943.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,844.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,24518.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,185.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,22800.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,1529.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,Productia primara | Total,23350.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,Productia primara | Gaz natural,3.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,Productia primara | Produse petroliere,96.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,Productia primara | Biocombustibili si deseuri,20906.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,Productia primara | Energie electrica,2345.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,Intrari din alte surse | Total,10827.0,ТДж,ENE020300_20260809-014024.xlsx,
