дата,ряд,показатель,значение,единица,источник_файл,флаг
2015-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,158952.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,127353.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,120582.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,65895.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,39542.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,41221.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,11026.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,30260.2,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,33149.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,58874.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,111356.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2015-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,136227.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,172489.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,118096.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,112570.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,38172.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,35192.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,36973.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,14509.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,3848.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,16395.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,76856.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,122106.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2016-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,149974.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,173440.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,146166.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,107875.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,43568.2,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,28043.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,17109.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,10894.2,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,8881.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,31133.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,66087.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,121540.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2017-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,129856.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,145717.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,124075.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,148091.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,45803.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,49472.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,12981.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,19340.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,19110.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,19156.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,52424.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,131214.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,164042.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
