дата,ряд,показатель,значение,единица,источник_файл,флаг
2001-01-01,Электробаланс ПМР,Произведено электроэнергии (ПМР),3649.9,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2001-01-01,Электробаланс ПМР,Потреблено электроэнергии внутри республики (ПМР),2183.1,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2001-01-01,Электробаланс ПМР,Отпущено электроэнергии за пределы республики (ПМР),1466.8,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2005-01-01,Электробаланс ПМР,Произведено электроэнергии (ПМР),2995.9,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2005-01-01,Электробаланс ПМР,Получено электроэнергии из-за пределов республики (ПМР),659.2,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2005-01-01,Электробаланс ПМР,Потреблено электроэнергии внутри республики (ПМР),2107.9,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2005-01-01,Электробаланс ПМР,Отпущено электроэнергии за пределы республики (ПМР),1547.2,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2010-01-01,Электробаланс ПМР,Произведено электроэнергии (ПМР),5060.6,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2010-01-01,Электробаланс ПМР,Получено электроэнергии из-за пределов республики (ПМР),1.9,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2010-01-01,Электробаланс ПМР,Потреблено электроэнергии внутри республики (ПМР),1671.7,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2010-01-01,Электробаланс ПМР,Отпущено электроэнергии за пределы республики (ПМР),3390.8,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2020.pdf,"табл. 8.10, стр. PDF 105"
2011-01-01,Электробаланс ПМР,Произведено электроэнергии (ПМР),4786.1,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2016.pdf,"табл. 8.10, стр. PDF 101"
2011-01-01,Электробаланс ПМР,Получено электроэнергии из-за пределов республики (ПМР),1.6,млн кВт·ч,statisticheskiy_ezhegodnik_pmr_2016.pdf,"табл. 8.10, стр. PDF 101"
